,Unnamed: 0,measure,best_fit_type,entropy_AIC_weights,observed_half_life,observed_effect_strength,included samples,affected samples,constant_c,Piecewise Linear Fit_scaled_relative_likelihood_over_Constant Fit,Piecewise Linear Fit_AIC_weight,Exponential Saturation Fit_scaled_relative_likelihood_over_Constant Fit,Exponential Saturation Fit_AIC_weight,Michaelis-Menten Fit_scaled_relative_likelihood_over_Constant Fit,Michaelis-Menten Fit_AIC_weight,exponential_saturation_a,exponential_saturation_b,exponential_saturation_c,michaelis_menten_a,michaelis_menten_b,michaelis_menten_c,piecewise_linear_b,piecewise_linear_m,piecewise_linear_c,dataset,num_edges,num_nodes
844,4,clustering,Piecewise Linear Fit,1.098611539279154,0.021569184397486,0.0552902614922884,1.0,0.213392200147167,,1.0092514959503496,0.3338408452570687,1.0076694626427791,0.3333175392835395,1.0062306727574086,0.3328416154593918,,,,,,,0.0431383687911718,-1.135113265626884,0.4673004602858757,glioma_mibitof:CHOP_907_R4C11_whole_cell.tiff,4042,1359
845,5,pagerank,Constant Fit,1.0986122495963562,0.0,-0.0,1.0,0.0,0.0007358351729212,0.9994933405682628,0.3334605092200375,0.9990111889591472,0.333299649197693,0.9988319254131552,0.3332398415822695,,,,,,,,,,glioma_mibitof:CHOP_907_R4C11_whole_cell.tiff,4042,1359
846,0,degree,Piecewise Linear Fit,1.0986115461067396,0.0372195416526457,-0.0512085810680688,1.0,0.3422619047619047,,1.0068116826694633,0.3338926004789601,1.004625758616165,0.3331676745775542,1.0039384047954725,0.3329397249434857,,,,,,,0.0744390833062386,7.859875968474128,5.420192605695352,glioma_mibitof:CHOP_907_R11C5_whole_cell.tiff,986,336
847,1,closeness,Piecewise Linear Fit,1.0986122886679692,0.2335543269253091,-0.0793264509196736,1.0,0.9970238095238096,,1.2235463773099529,0.3333334663937265,1.2235449823932216,0.3333330863734527,1.2235463069772103,0.3333334472328207,,,,,,,0.4671086547767925,0.0504342073251671,0.1367101498979491,glioma_mibitof:CHOP_907_R11C5_whole_cell.tiff,986,336
848,2,betweenness,Piecewise Linear Fit,1.0983965033836114,0.0008129449472058,0.4915371691284625,1.0,0.0803571428571428,,1.0469522864506036,0.3431500169593277,1.0020270344683058,0.3284252762245885,1.002025297200328,0.3284247068160837,,,,,,,0.001625889894403,-18.88343743503242,0.0465821903591886,glioma_mibitof:CHOP_907_R11C5_whole_cell.tiff,986,336
849,3,harmonic,Michaelis-Menten Fit,1.0986122882143212,0.2335541328760428,-0.0630199186720385,1.0,1.0,,1.1267193508658495,0.333319132762237,1.126790892859276,0.333340297141092,1.126791815531582,0.333340570096671,,,,14404.070770387609,280432.4642349328,0.1783596754469704,,,,glioma_mibitof:CHOP_907_R11C5_whole_cell.tiff,986,336
850,4,clustering,Piecewise Linear Fit,1.0986113552153465,0.0372191342117287,0.0484837502652399,1.0,0.3422619047619047,,1.001770368878306,0.3339465394124937,0.9995236854114252,0.3331975931547199,0.9984985791081258,0.3328558674327862,,,,,,,0.0744382684108737,-0.5915435543624471,0.4761222653321945,glioma_mibitof:CHOP_907_R11C5_whole_cell.tiff,986,336
851,5,pagerank,Constant Fit,1.0986118475762114,0.0,-0.0,1.0,0.0,0.0029761904761904,0.9986521469399162,0.3337610775205384,0.9970290108700808,0.3332186067059603,0.9964357012280756,0.3330203157735012,,,,,,,,,,glioma_mibitof:CHOP_907_R11C5_whole_cell.tiff,986,336
852,0,degree,Piecewise Linear Fit,1.0986115411293804,0.024090062669318,-0.0904274864225797,1.0,0.3835616438356164,,1.0320495221824648,0.3338129212886104,1.0306814371789328,0.3333704188293928,1.0289693804530928,0.3328166598819966,,,,,,,0.0481801253388709,20.52406064111708,4.973224766755426,glioma_mibitof:CHOP_907_R3C4_whole_cell.tiff,416,146
853,1,closeness,Piecewise Linear Fit,1.0986122886015088,0.2286573761311903,-0.1112304120189936,1.0,0.9931506849315068,,1.5076176760657165,0.3333387673226426,1.507579768030637,0.3333303857429587,1.507581853897734,0.3333308469343986,,,,,,,0.4573147527228811,0.0993082134497778,0.1814412480200223,glioma_mibitof:CHOP_907_R3C4_whole_cell.tiff,416,146
854,2,betweenness,Piecewise Linear Fit,1.098612288320005,0.228655839010124,-0.3337534981234831,1.0,0.9863013698630136,,1.0075194400906975,0.3333457713367836,1.007462801291363,0.3333270319422862,1.0074632993258403,0.3333271967209301,,,,,,,0.4573116789897962,0.0471675158095229,0.0215295233625375,glioma_mibitof:CHOP_907_R3C4_whole_cell.tiff,416,146
855,3,harmonic,Michaelis-Menten Fit,1.0982426499372329,0.2099247364085612,-0.0846063828297749,1.0,1.0,,1.1921877812888713,0.3205579375154925,1.2634359946249405,0.3397153057398026,1.2634785820842738,0.3397267567447048,,,,0.2616089821594222,2.268749640999613,0.239718494804722,,,,glioma_mibitof:CHOP_907_R3C4_whole_cell.tiff,416,146
856,4,clustering,Piecewise Linear Fit,1.0986117159419553,0.0540451006752213,0.0544969808618514,1.0,0.4520547945205479,,1.000697818250608,0.3338363891478879,0.9985378476868826,0.3331158152038771,0.9983339543333056,0.333047795648235,,,,,,,0.1080902013269623,-0.4603463269430803,0.4814086727857432,glioma_mibitof:CHOP_907_R3C4_whole_cell.tiff,416,146
857,5,pagerank,Piecewise Linear Fit,1.0986117166132014,0.0232705898654418,-0.0442773065185256,1.0,0.3698630136986301,,1.0018050133736394,0.3337714607551016,1.000481229148657,0.3333304154532728,0.9991837187117302,0.3328981237916255,,,,,,,0.0465411800954687,0.0127655203921389,0.0064120458640612,glioma_mibitof:CHOP_907_R3C4_whole_cell.tiff,416,146
858,0,degree,Exponential Saturation Fit,1.0986122703609702,0.0494871726846398,-0.0512148828101392,1.0,0.7060931899641577,,1.003980026655316,0.3333610375833917,1.0040787623304568,0.3333938217287308,1.0036309811607045,0.3332451406878775,0.5896679932331836,13.968518640377791,5.451665308098427,,,,,,,glioma_mibitof:CHOP_907_R3C6_whole_cell.tiff,817,279
859,1,closeness,Piecewise Linear Fit,1.0986122535196547,0.1988719480420614,-0.0455472654929761,1.0,0.96415770609319,,1.0732114703219988,0.3334583233575731,1.0726078846167082,0.3332707828002322,1.0726082419972238,0.3332708938421945,,,,,,,0.3977438971561429,0.0371022775189291,0.154620194950847,glioma_mibitof:CHOP_907_R3C6_whole_cell.tiff,817,279
860,2,betweenness,Exponential Saturation Fit,1.0974173866136965,0.0001725703912395,0.6094073337173489,1.0,0.068100358422939,,1.1021345316917854,0.3442484580977446,1.105556955998817,0.3453174421979373,0.993875594939146,0.310434099704318,-0.0497238241323728,4016.605487076936,0.0656587825010396,,,,,,,glioma_mibitof:CHOP_907_R3C6_whole_cell.tiff,817,279
861,3,harmonic,Piecewise Linear Fit,1.0986119741498597,0.1755363161971005,-0.0367832858755696,1.0,0.935483870967742,,1.0507398994134107,0.3337072477489236,1.0489735639044504,0.3331462726097617,1.0489742157821509,0.3331464796413148,,,,,,,0.3510726332129412,0.0428795808365444,0.1971019858030941,glioma_mibitof:CHOP_907_R3C6_whole_cell.tiff,817,279
862,4,clustering,Piecewise Linear Fit,1.098611888903985,0.0887253899347293,0.0563446944826372,1.0,0.6308243727598566,,1.0054161685809435,0.3337442373440529,1.0038049473829742,0.3332093983323949,1.003313801738562,0.333046364323552,,,,,,,0.1774507798067074,-0.282784222120961,0.4703874410927686,glioma_mibitof:CHOP_907_R3C6_whole_cell.tiff,817,279
863,5,pagerank,Constant Fit,1.0986122280612114,0.0,-0.0,1.0,0.0,0.003584229390681,0.9961101327353964,0.3334864988645286,0.9955764323131608,0.3333078219497932,0.9952713361768344,0.3332056791856781,,,,,,,,,,glioma_mibitof:CHOP_907_R3C6_whole_cell.tiff,817,279
