,Unnamed: 0,measure,best_fit_type,entropy_AIC_weights,observed_half_life,observed_effect_strength,included samples,affected samples,piecewise_linear_b,piecewise_linear_m,piecewise_linear_c,Piecewise Linear Fit_scaled_relative_likelihood_over_Constant Fit,Piecewise Linear Fit_AIC_weight,Exponential Saturation Fit_scaled_relative_likelihood_over_Constant Fit,Exponential Saturation Fit_AIC_weight,Michaelis-Menten Fit_scaled_relative_likelihood_over_Constant Fit,Michaelis-Menten Fit_AIC_weight,exponential_saturation_a,exponential_saturation_b,exponential_saturation_c,dataset,num_edges,num_nodes,michaelis_menten_a,michaelis_menten_b,michaelis_menten_c,constant_c
4643,5,pagerank,Piecewise Linear Fit,1.0985780729116756,0.0098774657754202,-0.0658687420078881,1.0,0.0940310711365494,0.0197549323175268,0.0025766642559605,0.0003609373776553,1.0704017141208622,0.3360173944330579,1.0653696508615538,0.3344377437629319,1.0497831088473897,0.3295448618040102,,,,tma_controls_mibitof:201003_Slide27Stain5Run_shuffled_run_Point19_R6C11_segmentation_labels.tiff,24460,2446,,,,
4644,0,degree,Piecewise Linear Fit,1.098535828700397,0.0109086504363801,-0.0948356239492725,1.0,0.0921052631578947,0.0218173008727738,160.3633910800028,16.696759976441204,1.1034992429398478,0.33754202032049,1.094257028284618,0.3347149809483098,1.0714640821173054,0.3277429987311999,,,,tma_controls_mibitof:201001_Slide31Stain4Run_restart_Point9_R1C10_segmentation_labels.tiff,28120,2812,,,,
4645,1,closeness,Piecewise Linear Fit,1.0985938063187666,0.1978898749619038,-0.2296240458775669,1.0,0.9559032716927454,0.3957797504843778,0.070603059970256,0.0468740471019101,3.045142824742752,0.3362014349978362,3.0062507819206155,0.3319075278285053,3.0061014178963887,0.3318910371736585,,,,tma_controls_mibitof:201001_Slide31Stain4Run_restart_Point9_R1C10_segmentation_labels.tiff,28120,2812,,,,
4646,2,betweenness,Piecewise Linear Fit,1.0986117131451056,0.1818618094092619,-0.838855955560575,1.0,0.9256756756756755,0.3637236200598902,0.0293002643794057,0.0010236226671041,1.1404298452408657,0.3338391520784568,1.137837424567244,0.3330802702207747,1.1378384749514174,0.3330805777007685,,,,tma_controls_mibitof:201001_Slide31Stain4Run_restart_Point9_R1C10_segmentation_labels.tiff,28120,2812,,,,
4647,3,harmonic,Exponential Saturation Fit,1.098585809064289,0.1572594565428638,-0.188409120177341,1.0,1.0,,,,2.8004458236180976,0.3300182009520252,2.8490663861302328,0.3357478852880713,2.836219230334268,0.3342339137599033,0.0393350965628119,3.262963244614657,0.0680101115777743,tma_controls_mibitof:201001_Slide31Stain4Run_restart_Point9_R1C10_segmentation_labels.tiff,28120,2812,,,,
4648,4,clustering,Exponential Saturation Fit,1.0985870908772664,0.0137925944928982,0.1860575797976087,1.0,0.2158605974395448,,,,1.3672938703953397,0.3340381539521365,1.3745569633499135,0.3358125714457417,1.3513758058417191,0.3301492746021216,-0.2223257888025312,50.25502494856861,0.7086279077108961,tma_controls_mibitof:201001_Slide31Stain4Run_restart_Point9_R1C10_segmentation_labels.tiff,28120,2812,,,,
4649,5,pagerank,Piecewise Linear Fit,1.0985472430108532,0.0098898026622547,-0.0725764560630202,1.0,0.0860597439544808,0.0197796061316689,0.002450519735228,0.0003096906811207,1.0895531100746925,0.3372022119291264,1.08123000125656,0.3346263203294882,1.060373362528699,0.3281714677413852,,,,tma_controls_mibitof:201001_Slide31Stain4Run_restart_Point9_R1C10_segmentation_labels.tiff,28120,2812,,,,
4650,0,degree,Piecewise Linear Fit,1.0985749457109466,0.0117459434925595,-0.1085345777103506,1.0,0.1035714285714285,0.023491886985133,168.77423620548203,16.282850680931197,1.0901079507280076,0.3360247812603982,1.085590063597277,0.3346321466742097,1.0684316199210715,0.329343072065392,,,,tma_controls_mibitof:201003_Slide27Stain5Run_shuffled_run_Point25_R3C4_segmentation_labels.tiff,16800,1680,,,,
4651,1,closeness,Piecewise Linear Fit,1.098568769011107,0.1978645448547724,-0.2281052298892295,1.0,0.9523809523809524,0.3957290901453383,0.0908065624872995,0.0608006289548994,3.266729396478747,0.3377360245446016,3.203061865933976,0.3311536554380753,3.202642706938217,0.3311103200173231,,,,tma_controls_mibitof:201003_Slide27Stain5Run_shuffled_run_Point25_R3C4_segmentation_labels.tiff,16800,1680,,,,
4652,2,betweenness,Piecewise Linear Fit,1.0986081661359122,0.1768743109572307,-0.854493635815647,1.0,0.9136904761904762,0.353748622834476,0.0384503309741243,0.001158078455919,1.1306707226534531,0.334687386990453,1.123819583127691,0.3326593960468092,1.123798708395855,0.3326532169627378,,,,tma_controls_mibitof:201003_Slide27Stain5Run_shuffled_run_Point25_R3C4_segmentation_labels.tiff,16800,1680,,,,
4653,3,harmonic,Exponential Saturation Fit,1.0985536219500491,0.1564589965514538,-0.1843972715677651,1.0,1.0,,,,2.9267029820326256,0.3282894385795015,2.9999948894822164,0.33651062101474,2.988310161324659,0.3351999404057585,0.0491797014999471,3.285230199888599,0.0874243230792015,tma_controls_mibitof:201003_Slide27Stain5Run_shuffled_run_Point25_R3C4_segmentation_labels.tiff,16800,1680,,,,
4654,4,clustering,Exponential Saturation Fit,1.098608211281246,0.0199594187323357,0.1749562378276423,1.0,0.3119047619047619,,,,1.2750872736318,0.3324052286989961,1.2836683370489637,0.3346422444756013,1.277186677659212,0.3329525268254026,-0.2167448151490125,34.72782230342775,0.7277981832177579,tma_controls_mibitof:201003_Slide27Stain5Run_shuffled_run_Point25_R3C4_segmentation_labels.tiff,16800,1680,,,,
4655,5,pagerank,Piecewise Linear Fit,1.0985724532087875,0.0110490142993288,-0.0838941996763027,1.0,0.0988095238095238,0.0220980291236944,0.0042088538260975,0.0005078097599375,1.084848695147991,0.3361628560909236,1.079841891039758,0.3346113940516189,1.062461597617372,0.3292257498574573,,,,tma_controls_mibitof:201003_Slide27Stain5Run_shuffled_run_Point25_R3C4_segmentation_labels.tiff,16800,1680,,,,
