,Unnamed: 0,measure,best_fit_type,entropy_AIC_weights,observed_half_life,observed_effect_strength,included samples,affected samples,michaelis_menten_a,michaelis_menten_b,michaelis_menten_c,Piecewise Linear Fit_scaled_relative_likelihood_over_Constant Fit,Piecewise Linear Fit_AIC_weight,Exponential Saturation Fit_scaled_relative_likelihood_over_Constant Fit,Exponential Saturation Fit_AIC_weight,Michaelis-Menten Fit_scaled_relative_likelihood_over_Constant Fit,Michaelis-Menten Fit_AIC_weight,exponential_saturation_a,exponential_saturation_b,exponential_saturation_c,piecewise_linear_b,piecewise_linear_m,piecewise_linear_c,dataset,num_edges,num_nodes,constant_c
985,1,closeness,Piecewise Linear Fit,1.098610683350589,0.1969938503449255,-0.231555885861959,1.0,0.9548335974643424,,,,3.0757478851649447,0.3341772880859743,3.0644063550318976,0.3329450408654243,3.0637862872445125,0.3328776710486011,,,,0.3939877011422901,0.0870808536442402,0.0569287712922282,glioma_mibitof:CHOP_907_R8C10_whole_cell.tiff,5594,1262,
986,2,betweenness,Michaelis-Menten Fit,1.0986097242721984,0.1820995967980401,-0.9515875940596784,1.0,1.0,0.0583620683721472,0.6876898203637082,0.0006216320541439,1.1837642183028747,0.3322663458750499,1.189386891573804,0.3338445529815795,1.189545603163389,0.3338891011433705,,,,,,,glioma_mibitof:CHOP_907_R8C10_whole_cell.tiff,5594,1262,
987,3,harmonic,Michaelis-Menten Fit,1.098266359387123,0.1324504734795894,-0.2039836633850913,1.0,1.0,0.064894815888351,0.2846865275050481,0.0804102476125938,2.135546084199085,0.3209886934377663,2.2551132710546407,0.3389605439966307,2.262366523407409,0.3400507625656028,,,,,,,glioma_mibitof:CHOP_907_R8C10_whole_cell.tiff,5594,1262,
988,4,clustering,Piecewise Linear Fit,1.0985983818391385,0.01621197488529,0.1256793609448407,1.0,0.1640253565768621,,,,1.0683797824081425,0.3351432265338239,1.0644268273613495,0.3339032123267607,1.0550238394916311,0.3309535611394154,,,,0.032423949769889,-4.69199591517439,0.6813092531824299,glioma_mibitof:CHOP_907_R8C10_whole_cell.tiff,5594,1262,
989,5,pagerank,Piecewise Linear Fit,1.0986041357448184,0.0091337687320978,-0.1472527771044225,1.0,0.1148969889064976,,,,1.0650275195127508,0.3344470339614578,1.0639621889914608,0.3341124917768605,1.05545330149266,0.3314404742616815,,,,0.018267537624842,0.0113712816188796,0.0006014731066266,glioma_mibitof:CHOP_907_R8C10_whole_cell.tiff,5594,1262,
990,0,degree,Piecewise Linear Fit,1.0986069512036944,0.0196427857018197,-0.2987782031335287,1.0,0.1615525832677681,,,,1.0299934018708587,0.3341883089815604,1.029458342297222,0.3340147052926501,1.022623164465814,0.3317969857257893,,,,0.0392855714036485,434.1407296606562,20.014286240178347,glioma_mibitof:Brainiaqc_R4C3_whole_cell.tiff,67809,3813,
991,1,closeness,Exponential Saturation Fit,1.0986121891818454,0.1751736117902708,-0.2400996936308704,1.0,1.0,,,,1.0733968219742689,0.3331231588619433,1.0744299068517462,0.3334437714170697,1.07439542360956,0.3334330697209871,0.0581795375419447,2.501145532837024,0.0653237808783381,,,,glioma_mibitof:Brainiaqc_R4C3_whole_cell.tiff,67809,3813,
992,2,betweenness,Piecewise Linear Fit,1.0986122883512164,0.238560731320697,-0.9987418661545796,1.0,0.998164175190139,,,,1.1669116305087242,0.3333451990319743,1.1668486736895562,0.3333272145052396,1.166849975767967,0.3333275864627859,,,,0.4771214650816888,0.0195517969145168,5.875644775427788e-06,glioma_mibitof:Brainiaqc_R4C3_whole_cell.tiff,67809,3813,
993,3,harmonic,Exponential Saturation Fit,1.0986115833788594,0.0636867947851042,-0.1614945703373603,1.0,0.8360870705481248,,,,1.195627569421169,0.333016478233157,1.1987694756624774,0.3338915889935469,1.1958984735184883,0.3330919327732961,0.0362219416841657,10.80874187930222,0.0935851266010928,,,,glioma_mibitof:Brainiaqc_R4C3_whole_cell.tiff,67809,3813,
994,4,clustering,Piecewise Linear Fit,1.098599117780251,0.0195147332618225,0.1221723440433518,1.0,0.1605035405192761,,,,1.1602347639623525,0.3350587133872587,1.1563549006966083,0.333938266013747,1.1461907902440591,0.3310030205989943,,,,0.0390294665227327,-4.277464493441304,0.766718049965254,glioma_mibitof:Brainiaqc_R4C3_whole_cell.tiff,67809,3813,
