,Unnamed: 0,measure,best_fit_type,entropy_AIC_weights,observed_half_life,observed_effect_strength,included samples,affected samples,exponential_saturation_a,exponential_saturation_b,exponential_saturation_c,Piecewise Linear Fit_scaled_relative_likelihood_over_Constant Fit,Piecewise Linear Fit_AIC_weight,Exponential Saturation Fit_scaled_relative_likelihood_over_Constant Fit,Exponential Saturation Fit_AIC_weight,Michaelis-Menten Fit_scaled_relative_likelihood_over_Constant Fit,Michaelis-Menten Fit_AIC_weight,piecewise_linear_b,piecewise_linear_m,piecewise_linear_c,constant_c,michaelis_menten_a,michaelis_menten_b,michaelis_menten_c,dataset,num_edges,num_nodes
3865,1,closeness,Piecewise Linear Fit,1.0986122664083888,0.0699510282212891,0.5030676419666601,0.9934390377255332,0.4881673087506879,,,,1.0234088176314846,0.3334183611390976,1.0231545223776084,0.3333355137907729,1.022880148751061,0.3332461250701296,0.1399020564212431,-0.6557366669999747,0.1370489501287735,,,,,glioma_mibitof:UCSF_TA6_R4C3_whole_cell.tiff,4475,1829
3866,2,betweenness,Piecewise Linear Fit,1.0986122886679692,0.2459582085044167,-1.0173726969804056,1.0,0.9994532531437944,,,,1.0712202486130535,0.3333334593827953,1.071219049602505,0.333333086284607,1.071220232383438,0.3333334543325977,0.4919164175766906,0.0866267795706734,-0.0003638318518553,,,,,glioma_mibitof:UCSF_TA6_R4C3_whole_cell.tiff,4475,1829
3867,3,harmonic,Michaelis-Menten Fit,1.0986115251597195,0.1957301690831152,-0.382286722443156,1.0,1.0,,,,1.2322472264078963,0.3327512577791139,1.2354142957947016,0.3336064809026467,1.235546798127429,0.3336422613182393,,,,,0.0924822205275648,0.9584575146273824,0.025341791069079,glioma_mibitof:UCSF_TA6_R4C3_whole_cell.tiff,4475,1829
3868,4,clustering,Michaelis-Menten Fit,1.0986122114607575,0.0011763308202029,0.0798365106074956,1.0,0.1148168398031711,,,,0.9995003646984688,0.3331486305006441,1.000295184389298,0.3334135559582496,1.00036796110423,0.3334378135411063,,,,,-0.094385965003446,0.0011819838268532,0.6367832156197508,glioma_mibitof:UCSF_TA6_R4C3_whole_cell.tiff,4475,1829
3869,5,pagerank,Piecewise Linear Fit,1.0986119335863531,0.0037313403492842,-0.0997487057337563,1.0,0.0650628758884636,,,,1.0082374928104243,0.33360730249949,1.0077483194694372,0.3334454440089012,1.0062426738965324,0.3329472534916086,0.0074626807542504,0.0134023435582373,0.0004513381570482,,,,,glioma_mibitof:UCSF_TA6_R4C3_whole_cell.tiff,4475,1829
3870,0,degree,Michaelis-Menten Fit,1.0985733833568914,0.0090765849316397,-0.3183480702641887,1.0,0.5784851811196488,,,,1.0264937536112455,0.3292077576074201,1.0444752238472914,0.3349746114962701,1.047103819706037,0.3358176308963097,,,,,3.7533078838098617,0.0094264913833845,3.942331804573912,glioma_mibitof:UCSF_TA8_R2C5_whole_cell.tiff,9821,2733
3871,1,closeness,Piecewise Linear Fit,1.0986090074463617,0.1799150443894871,-0.2269610091432369,0.999634101719722,0.9169106881405564,,,,2.898780977303049,0.3345258825775492,2.884722277264681,0.3329034767886843,2.881838138354412,0.3325706406337665,0.3598300894439979,0.0541078526435328,0.0331572057983962,,,,,glioma_mibitof:UCSF_TA8_R2C5_whole_cell.tiff,9821,2733
3872,2,betweenness,Piecewise Linear Fit,1.0986122784420655,0.1431084363349914,-0.884684438784515,1.0,0.814123673618734,,,,1.1178018803629537,0.3333986592026481,1.1175217214553328,0.3333150982373238,1.1174249756243289,0.3332862425600282,0.2862168732427294,0.0499726906633837,0.0009321750535285,,,,,glioma_mibitof:UCSF_TA8_R2C5_whole_cell.tiff,9821,2733
3873,3,harmonic,Exponential Saturation Fit,1.09858430733738,0.1123394279853045,-0.2208757752391884,1.0,1.0,0.0277646486894627,5.616844613071881,0.0458287549705177,1.9896792793261355,0.329872697676906,2.024460330322549,0.3356391140232183,2.017518340033856,0.3344881882998757,,,,,,,,glioma_mibitof:UCSF_TA8_R2C5_whole_cell.tiff,9821,2733
3874,4,clustering,Piecewise Linear Fit,1.0986117645701885,0.0101620103675643,0.0935872944634902,1.0,0.1046469081595316,,,,1.0103009286765223,0.3337113369470181,1.0093709909632536,0.3334041702912586,1.0077976830393902,0.3328844927617233,0.02032402073476,-5.512991984959336,0.6546415375868555,,,,,glioma_mibitof:UCSF_TA8_R2C5_whole_cell.tiff,9821,2733
