,best_fit_type,entropy_AIC_weights,observed_half_life,observed_effect_strength,included samples,affected samples,scaled_relative_likelihood_over_baseline,piecewise_linear_b,piecewise_linear_m,piecewise_linear_c,constant_c,dataset,num_edges,num_nodes,exponential_saturation_a,exponential_saturation_b,exponential_saturation_c,michaelis_menten_a,michaelis_menten_b,michaelis_menten_c
pagerank,Piecewise Linear Fit,0.9999993072532548,0.010283086830189742,-0.09157598669007795,1.0,0.1278600269179004,1.0068837275289195,0.02056617384506665,0.01113568100657775,0.0011359187507609576,,glioma_mibitof:CHOP_907_R10C9_whole_cell.tiff,1369,743,,,,,,
betweenness,Exponential Saturation Fit,0.999999996517798,0.036190378305897816,-0.8729790931936439,1.0,0.5625841184387618,1.0061398625099913,,,,,glioma_mibitof:CHOP_907_R10C9_whole_cell.tiff,1369,743,0.004011986589370922,19.15055148693473,0.0002918538261304353,,,
closeness,Exponential Saturation Fit,0.9999999669491562,0.01973971648846562,0.36938403627215605,0.9771197846567967,0.35399449035812675,1.0293425864839547,,,,,glioma_mibitof:CHOP_907_R10C9_whole_cell.tiff,1369,743,-0.20638947547824385,35.114341670483086,0.3825645076667828,,,
clustering,Exponential Saturation Fit,0.999998581529477,0.0015977922752698126,-0.27866219486603344,1.0,0.07133243606998654,1.0032228882980265,,,,,glioma_mibitof:CHOP_907_R10C9_whole_cell.tiff,1369,743,0.20434015731842783,433.81557840709723,0.26447484314081343,,,
degree,Piecewise Linear Fit,0.9999994493816817,0.010097318595568236,-0.15143322188017933,1.0,0.13211249182472204,1.0166693507337652,0.02019463719115797,93.90723952488693,5.3133692285243,,glioma_mibitof:CHOP_1101_R9C2_whole_cell.tiff,5386,1529,,,,,,
pagerank,Piecewise Linear Fit,0.9999987312256594,0.0074261030682172685,-0.09155778655655956,1.0,0.1118378024852845,1.0167211468827326,0.014852206334976496,0.007480638034734377,0.0005511903454567485,,glioma_mibitof:CHOP_1101_R9C2_whole_cell.tiff,5386,1529,,,,,,
betweenness,Piecewise Linear Fit,0.999999854543767,0.16687233508010346,-0.8567375613631429,1.0,0.9038587311968607,1.1193454189810432,0.3337446706493131,0.06823561869654181,0.0019040572300747446,,glioma_mibitof:CHOP_1101_R9C2_whole_cell.tiff,5386,1529,,,,,,
closeness,Piecewise Linear Fit,0.9999999999998339,0.2300866042596154,-0.19380720048615818,0.999345977763244,0.9914921465968587,1.0122127394892737,0.4601732094849343,0.04765160699393228,0.04560767077339046,,glioma_mibitof:CHOP_1101_R9C2_whole_cell.tiff,5386,1529,,,,,,
clustering,Piecewise Linear Fit,0.9999985750130805,0.009344420417490416,0.153952657834063,1.0,0.1249182472204055,1.0400032656458806,0.018688840834806326,-10.709593567787456,0.7501120808695605,,glioma_mibitof:CHOP_1101_R9C2_whole_cell.tiff,5386,1529,,,,,,
degree,Piecewise Linear Fit,0.9999872488658283,0.015242995052232918,-0.28104010030475823,1.0,0.13101045296167246,1.0569869529956708,0.030485990104477282,266.09329511448396,10.376254531192004,,glioma_mibitof:CHOP_1101_R2C2_whole_cell.tiff,25666,2870,,,,,,
pagerank,Piecewise Linear Fit,0.9999827139099224,0.010237918589672542,-0.16416041913016483,1.0,0.09198606271777003,1.0733851004343788,0.02047583759919189,0.004876978218729479,0.00025422420162574566,,glioma_mibitof:CHOP_1101_R2C2_whole_cell.tiff,25666,2870,,,,,,
betweenness,Exponential Saturation Fit,0.9999997092141577,0.19100802110094592,-1.0388112089203223,1.0,1.0,1.1447473550128011,,,,,glioma_mibitof:CHOP_1101_R2C2_whole_cell.tiff,25666,2870,0.014532316242432123,1.9239484717342963,-0.00016697146174245238,,,
closeness,Piecewise Linear Fit,0.9999999999794651,0.0218290504501045,-0.07322042128476107,0.9993031358885017,0.1718967921896792,1.0000141312632835,0.04365810091418834,0.3123035380759024,0.08628910832389229,,glioma_mibitof:CHOP_1101_R2C2_whole_cell.tiff,25666,2870,,,,,,
