,best_fit_type,entropy_AIC_weights,observed_half_life,observed_effect_strength,included samples,affected samples,scaled_relative_likelihood_over_baseline,piecewise_linear_b,piecewise_linear_m,piecewise_linear_c,dataset,num_edges,num_nodes,exponential_saturation_a,exponential_saturation_b,exponential_saturation_c,michaelis_menten_a,michaelis_menten_b,michaelis_menten_c,constant_c
closeness,Piecewise Linear Fit,0.9999822403698568,0.1904194879827655,-0.21308488641907672,1.0,0.9404682274247491,3.0437801762715937,0.38083897629327806,0.11619906206512423,0.0817126423993415,glioma_mibitof:CHOP_907_R11C8_whole_cell.tiff,22425,1495,,,,,,,
clustering,Piecewise Linear Fit,0.9999683064867552,0.030744918275298818,0.1382796788831279,1.0,0.2822742474916388,1.4614577901865682,0.06148983654845102,-2.8645789544281013,0.7249778871406959,glioma_mibitof:CHOP_907_R11C8_whole_cell.tiff,22425,1495,,,,,,,
degree,Piecewise Linear Fit,0.9999883679772431,0.016312590382292328,-0.07096565983038873,1.0,0.17750439367311072,1.0787580148782334,0.03262518076461104,123.75927471179372,26.42921163301644,glioma_mibitof:CHOP_907_R12C12_whole_cell.tiff,17070,1138,,,,,,,
pagerank,Piecewise Linear Fit,0.9999913109682691,0.0148161297343864,-0.05204069448257998,1.0,0.16695957820738136,1.0660785025914283,0.02963226046781522,0.002966066217134636,0.0008005016152980515,glioma_mibitof:CHOP_907_R12C12_whole_cell.tiff,17070,1138,,,,,,,
betweenness,Piecewise Linear Fit,0.9999910873338601,0.14887365340564016,-0.7949437554918495,1.0,0.820738137082601,1.1155691071245009,0.2977473076022047,0.03764548670796566,0.0014456639316537908,glioma_mibitof:CHOP_907_R12C12_whole_cell.tiff,17070,1138,,,,,,,
closeness,Piecewise Linear Fit,0.9999765736647859,0.1861408586114509,-0.19312440681210855,1.0,0.9235500878734623,2.2725584031629045,0.37228171753753114,0.11832396409147694,0.09202034136559423,glioma_mibitof:CHOP_907_R12C12_whole_cell.tiff,17070,1138,,,,,,,
clustering,Piecewise Linear Fit,0.9999978337210714,0.03428011720476136,0.13011792007568704,1.0,0.28295254833040423,1.265842002027986,0.068560234406786,-2.5052673916736454,0.7459041660253464,glioma_mibitof:CHOP_907_R12C12_whole_cell.tiff,17070,1138,,,,,,,
degree,Piecewise Linear Fit,0.9999755898783527,0.010599913691380967,-0.07389171691004454,1.0,0.12857142857142856,1.0697642989683984,0.021199827382772714,196.9388074456499,26.163729091382983,glioma_mibitof:Brainiaqc_R5C2_whole_cell.tiff,34650,2310,,,,,,,
pagerank,Piecewise Linear Fit,0.9999746678675853,0.01034376183085909,-0.056074078841105324,1.0,0.12727272727272726,1.0653843442828366,0.02068752458477171,0.002241205206092167,0.0003902436662023687,glioma_mibitof:Brainiaqc_R5C2_whole_cell.tiff,34650,2310,,,,,,,
betweenness,Piecewise Linear Fit,0.999998733112727,0.20053594821652176,-0.7962189321689649,1.0,0.9584415584415584,1.1380383142498522,0.40107189815084465,0.023347983751076672,0.0011983203532986801,glioma_mibitof:Brainiaqc_R5C2_whole_cell.tiff,34650,2310,,,,,,,
closeness,Piecewise Linear Fit,0.999977370567962,0.20186244517183397,-0.2201468837581867,1.0,0.9619047619047619,3.126931886038934,0.40372489078212087,0.09207943224316709,0.06584433747326375,glioma_mibitof:Brainiaqc_R5C2_whole_cell.tiff,34650,2310,,,,,,,
clustering,Piecewise Linear Fit,0.9999692821450984,0.023529411404461357,0.12675189329332595,1.0,0.20822510822510823,1.2651873873081665,0.04705882280756676,-3.470511547957592,0.7259026777809324,glioma_mibitof:Brainiaqc_R5C2_whole_cell.tiff,34650,2310,,,,,,,
