,best_fit_type,entropy_AIC_weights,observed_half_life,observed_effect_strength,included samples,affected samples,scaled_relative_likelihood_over_baseline,piecewise_linear_b,piecewise_linear_m,piecewise_linear_c,dataset,num_edges,num_nodes,exponential_saturation_a,exponential_saturation_b,exponential_saturation_c,michaelis_menten_a,michaelis_menten_b,michaelis_menten_c,constant_c
closeness,Piecewise Linear Fit,0.9999970921452851,0.20765908573604194,-0.21420904388582077,1.0,0.975051975051975,2.676114458843674,0.41531817178266833,0.133721559104926,0.10186420324264006,glioma_mibitof:CHOP_907_R10C4_whole_cell.tiff,14430,962,,,,,,,
clustering,Exponential Saturation Fit,0.9999910971079754,0.02390168235023869,0.15662374463660633,1.0,0.4022869022869023,1.3605395263655804,,,,glioma_mibitof:CHOP_907_R10C4_whole_cell.tiff,14430,962,-0.21299811319974798,28.99990773402329,0.7864660894092125,,,,
degree,Piecewise Linear Fit,0.9999832501697823,0.01512231100561309,-0.0719117455278798,1.0,0.17069980379332897,1.0716927404763117,0.030244622011248567,135.06218570327815,26.35975594496354,glioma_mibitof:CHOP_1101_R9C2_whole_cell.tiff,22935,1529,,,,,,,
pagerank,Piecewise Linear Fit,0.9999857341729449,0.012041708863130914,-0.057088746523075294,1.0,0.1497710922171354,1.0654865117347576,0.024083418538842254,0.0029638196450743177,0.0005894679331214176,glioma_mibitof:CHOP_1101_R9C2_whole_cell.tiff,22935,1529,,,,,,,
betweenness,Piecewise Linear Fit,0.9999970846477441,0.19219295849183343,-0.8390314659659446,1.0,0.94702419882276,1.2057292974673792,0.38438591817968853,0.03213870885815943,0.0011850280245574024,glioma_mibitof:CHOP_1101_R9C2_whole_cell.tiff,22935,1529,,,,,,,
closeness,Piecewise Linear Fit,0.9999891245354192,0.20179274625700516,-0.2265617793961725,1.0,0.9587965990843689,3.0395679039179977,0.40358549286150364,0.1161418817649272,0.08000799587583617,glioma_mibitof:CHOP_1101_R9C2_whole_cell.tiff,22935,1529,,,,,,,
clustering,Exponential Saturation Fit,0.9999926786534296,0.01957895703092693,0.14865586962563185,1.0,0.34401569653368214,1.3065896602133193,,,,glioma_mibitof:CHOP_1101_R9C2_whole_cell.tiff,22935,1529,-0.19885254190426294,35.40265942273414,0.7682613958314826,,,,
degree,Piecewise Linear Fit,0.9999807935946955,0.010711309639746048,-0.0739692557042848,1.0,0.12392285597045548,1.0618242860862304,0.021422619279503077,194.9897425255812,26.147399147080947,glioma_mibitof:Brainiaqc_R8C4_whole_cell.tiff,36555,2437,,,,,,,
pagerank,Piecewise Linear Fit,0.9999800616846468,0.010508794305224447,-0.05792040045459105,1.0,0.12022979072630283,1.0611420463641568,0.02101758958531068,0.002155955674748125,0.00036850953026339617,glioma_mibitof:Brainiaqc_R8C4_whole_cell.tiff,36555,2437,,,,,,,
betweenness,Piecewise Linear Fit,0.999998671527802,0.18255473569137048,-0.8211649076942589,1.0,0.9273697168649979,1.123809181182204,0.3651094728672032,0.024595404440110553,0.0009778436347609657,glioma_mibitof:Brainiaqc_R8C4_whole_cell.tiff,36555,2437,,,,,,,
