,data_source,#nodes in ROI,node density in ROI,% new edges,P_MWU,P_fisher,border_size,k,img_size,P_MWU_adj,P_fisher_adj
glioma_mibitof:CHOP_941_R1C2_whole_cell.tiff,glioma_mibitof,122,0.00011818956831744556,11.065573770491802,4.185076052576148e-66,5.144724963245675e-36,0.125,10,"(1020, 1012)",4.715004513778972e-66,5.683401506974264e-36
glioma_mibitof:CHOP_941_R1C3_whole_cell.tiff,glioma_mibitof,318,0.0003065532997859911,8.742138364779874,1.5289065213394278e-144,1.4443505205960705e-105,0.125,10,"(1020, 1017)",2.3066546213251367e-144,2.273541671281012e-105
glioma_mibitof:CHOP_941_R1C4_whole_cell.tiff,glioma_mibitof,1248,0.0011995386389850057,5.152243589743589,1.926084457435298e-299,5.9426062394188936e-208,0.125,10,"(1020, 1020)",5.016815480042065e-299,1.546563273808767e-207
glioma_mibitof:CHOP_941_R1C5_whole_cell.tiff,glioma_mibitof,481,0.00046232218377547095,7.505197505197506,6.352231154362207e-167,1.566197231224905e-108,0.125,10,"(1020, 1020)",1.0370108674894498e-166,2.4955275270996833e-108
glioma_mibitof:CHOP_941_R1C6_whole_cell.tiff,glioma_mibitof,426,0.0004086566133302636,8.990610328638498,1.1552755251981864e-173,9.11581356796108e-81,0.125,10,"(1022, 1020)",1.921153069858326e-173,1.2899268587558882e-80
glioma_mibitof:CHOP_941_R1C7_whole_cell.tiff,glioma_mibitof,329,0.0003162248329727345,8.541033434650457,9.207315904882647e-137,3.993591094159368e-83,0.125,10,"(1021, 1019)",1.3518781180511758e-136,5.7053911194234705e-83
glioma_mibitof:CHOP_941_R2C1_whole_cell.tiff,glioma_mibitof,476,0.00045886594559160933,5.924369747899159,4.0621991611022196e-104,1.2577143103185841e-50,0.125,10,"(1020, 1017)",5.3191815430281896e-104,1.5230096126890028e-50
glioma_mibitof:CHOP_941_R2C2_whole_cell.tiff,glioma_mibitof,160,0.00015424035660370448,12.25,4.532443943269674e-70,6.83239066807267e-60,0.125,10,"(1019, 1018)",5.184916642795308e-70,8.730587584448016e-60
glioma_mibitof:CHOP_941_R2C3_whole_cell.tiff,glioma_mibitof,240,0.00023113371085172773,9.208333333333334,1.8782058642836802e-109,8.144968377968187e-91,0.125,10,"(1020, 1018)",2.502404826859187e-109,1.199280350985132e-90
glioma_mibitof:CHOP_941_R2C4_whole_cell.tiff,glioma_mibitof,1431,0.001375432525951557,4.500349406009783,0.0,5.586390732907739e-205,0.125,10,"(1020, 1020)",0.0,1.4382768556365103e-204
glioma_mibitof:CHOP_941_R2C5_whole_cell.tiff,glioma_mibitof,710,0.0006824298346789696,5.845070422535211,2.7377685792590555e-229,6.878833509683113e-162,0.125,10,"(1020, 1020)",5.487837787564846e-229,1.409619229051205e-161
glioma_mibitof:CHOP_941_R2C6_whole_cell.tiff,glioma_mibitof,404,0.00038793186226498434,6.608910891089109,2.2498727897750045e-112,2.2342506094702745e-106,0.125,10,"(1021, 1020)",3.028600311408336e-112,3.531156201101046e-106
glioma_mibitof:CHOP_941_R3C1_whole_cell.tiff,glioma_mibitof,1093,0.001048500586603942,4.6660567246111615,4.264565091764494e-266,1.3248262338706593e-180,0.125,10,"(1021, 1021)",9.707169665875011e-266,2.976570020415877e-180
glioma_mibitof:CHOP_941_R3C2_whole_cell.tiff,glioma_mibitof,569,0.0005469050365244137,6.502636203866433,9.924224242192522e-195,3.0246308100953563e-127,0.125,10,"(1020, 1020)",1.7520266991728232e-194,5.268221985458894e-127
glioma_mibitof:CHOP_941_R3C3_whole_cell.tiff,glioma_mibitof,646,0.0006203068886712373,6.068111455108359,7.586352328503752e-200,1.9896631586422704e-154,0.125,10,"(1020, 1021)",1.362402433692767e-199,3.9277610900378063e-154
glioma_mibitof:CHOP_941_R3C4_whole_cell.tiff,glioma_mibitof,355,0.0003405468510927717,8.732394366197182,1.4362661891934383e-129,3.619294377284016e-87,0.125,10,"(1021, 1021)",2.0519027030425928e-129,5.230474937648303e-87
glioma_mibitof:CHOP_941_R3C5_whole_cell.tiff,glioma_mibitof,545,0.000522299805838641,6.935779816513761,2.960688773435209e-192,2.8130509576426654e-141,0.125,10,"(1022, 1021)",5.182864932420493e-192,5.244870531771967e-141
glioma_mibitof:CHOP_941_R3C6_whole_cell.tiff,glioma_mibitof,392,0.00037604082728982005,9.23469387755102,4.633982822718255e-121,3.846009476152709e-91,0.125,10,"(1022, 1020)",6.409179962510677e-121,5.670957315403639e-91
glioma_mibitof:CHOP_941_R3C7_whole_cell.tiff,glioma_mibitof,599,0.0005740506122887081,6.160267111853089,1.8071248757744928e-175,9.759879902477576e-140,0.125,10,"(1022, 1021)",3.0277097569977153e-175,1.8099824783513936e-139
glioma_mibitof:CHOP_941_R4C1_whole_cell.tiff,glioma_mibitof,994,0.0009582200628530665,3.7826961770623746,5.355664670680669e-173,5.679567449383084e-136,0.125,10,"(1020, 1017)",8.887216135247464e-173,1.0312377409548471e-135
glioma_mibitof:CHOP_941_R4C2_whole_cell.tiff,glioma_mibitof,241,0.00023186899882622332,8.174273858921161,4.924159269175004e-92,3.2924474193014464e-62,0.125,10,"(1020, 1019)",6.161117547128822e-92,4.257686662723983e-62
glioma_mibitof:CHOP_941_R4C3_whole_cell.tiff,glioma_mibitof,692,0.0006651294359183352,6.11271676300578,3.5243917078690415e-220,1.730244325477367e-152,0.125,10,"(1021, 1019)",6.811061450293947e-220,3.3920609092691884e-152
glioma_mibitof:CHOP_941_R4C4_whole_cell.tiff,glioma_mibitof,455,0.00043733179546328335,8.43956043956044,1.3321294330111293e-169,8.133710311299793e-121,0.125,10,"(1020, 1020)",2.1896001154177668e-169,1.3693572669643803e-120
glioma_mibitof:CHOP_941_R4C5_whole_cell.tiff,glioma_mibitof,539,0.0005180704710404374,7.0686456400742115,1.699163466222371e-190,1.8129446274537405e-98,0.125,10,"(1021, 1019)",2.9579083082566693e-190,2.763214285767707e-98
glioma_mibitof:CHOP_941_R4C6_whole_cell.tiff,glioma_mibitof,263,0.0002522926979010782,9.277566539923953,9.739900388133143e-98,1.2627667899601139e-61,0.125,10,"(1022, 1020)",1.246116710861934e-97,1.6255649979577228e-61
glioma_mibitof:CHOP_941_R4C7_whole_cell.tiff,glioma_mibitof,398,0.0003832996902784412,7.035175879396985,1.0807652406946913e-137,2.571306156251685e-95,0.125,10,"(1022, 1016)",1.594345699900577e-137,3.86810651540174e-95
glioma_mibitof:CHOP_941_R5C1_whole_cell.tiff,glioma_mibitof,334,0.000321662010271997,7.514970059880239,2.893402655186955e-110,1.7562422559048058e-109,0.125,10,"(1021, 1017)",3.868191991502081e-110,2.8126895206106197e-109
glioma_mibitof:CHOP_941_R5C2_whole_cell.tiff,glioma_mibitof,505,0.00048586657430391193,5.1683168316831685,2.0470538146987372e-137,1.3657890202158303e-75,0.125,10,"(1020, 1019)",3.016965107741461e-137,1.88899872016565e-75
glioma_mibitof:CHOP_941_R5C3_whole_cell.tiff,glioma_mibitof,345,0.00033095429952803037,8.782608695652174,7.704670253758683e-120,1.058835213686238e-75,0.125,10,"(1022, 1020)",1.0613888488084855e-119,1.4664045997082577e-75
glioma_mibitof:CHOP_941_R5C4_whole_cell.tiff,glioma_mibitof,320,0.0003078764414871202,6.5625,1.6670286280867744e-96,4.0342257771671427e-56,0.125,10,"(1021, 1018)",2.125818867094731e-96,5.047631050518024e-56
glioma_mibitof:CHOP_941_R5C5_whole_cell.tiff,glioma_mibitof,404,0.00038831256085405697,6.435643564356436,1.141474941341159e-103,2.590450801923759e-83,0.125,10,"(1021, 1019)",1.4915590969909788e-103,3.7075975501411086e-83
glioma_mibitof:CHOP_941_R5C6_whole_cell.tiff,glioma_mibitof,355,0.000341550427274774,7.859154929577465,9.026996365104911e-141,5.226703594406098e-101,0.125,10,"(1021, 1018)",1.343723052822814e-140,8.052785064297111e-101
glioma_mibitof:CHOP_941_R5C7_whole_cell.tiff,glioma_mibitof,291,0.00027942670474295626,10.378006872852234,1.7615564689540478e-155,3.372347101951193e-96,0.125,10,"(1022, 1019)",2.7672740706959212e-155,5.095229801351512e-96
glioma_mibitof:CHOP_941_R6C2_whole_cell.tiff,glioma_mibitof,664,0.0006375909815444298,6.295180722891566,1.7735067237286496e-228,3.425614675329524e-169,0.125,10,"(1021, 1020)",3.539080829523688e-228,7.262861256655874e-169
glioma_mibitof:CHOP_941_R6C3_whole_cell.tiff,glioma_mibitof,248,0.00023837008686090625,11.53225806451613,1.3234239274963335e-122,3.3217093060386853e-85,0.125,10,"(1021, 1019)",1.843466960558006e-122,4.773906195471152e-85
